label_zcta label_County Fraction
235 43 0.998012122215421
235 54 0.00198787778457895
236 43 1.0
237 54 0.025295064648540182
237 43 0.9747049353514599
238 44 0.0005252756632092094
238 37 0.0020698466034952353
238 54 0.9974048777332956
239 44 0.0017766482691906654
239 54 0.9982233517308093
240 54 1.0
241 54 1.0
242 44 0.0010979648928774325
242 54 0.9989020351071225
243 54 0.9996273527466991
243 44 0.0003726472533009736
244 44 0.03610522833397606
244 54 0.963894771666024
245 37 0.9915768001066949
245 44 0.008423199893305066
246 37 1.0
247 37 1.0
248 37 1.0
249 37 1.0
250 37 0.997874408094527
250 54 0.002125591905472904
251 37 0.9955539424339163
251 54 0.004446057566083813
252 37 1.0
253 37 1.0
254 54 0.0016706026396745052
254 37 0.9924090820489619
254 44 0.005920315311363658
255 37 1.0
256 37 1.0
257 37 1.0
258 37 1.0
259 37 1.0
260 37 1.0
261 37 1.0
262 37 1.0
263 37 1.0
264 37 1.0
265 44 0.004256747568147643
265 37 0.993276263382076
265 54 0.00246698904977646
266 37 1.0
267 37 1.0
268 37 1.0
269 37 1.0
270 37 1.0
271 37 1.0
272 37 1.0
273 37 1.0
274 37 1.0
275 37 1.0
276 37 1.0
277 37 1.0
278 37 1.0
279 37 0.9964202650725497
279 54 0.003579734927450307
280 37 1.0
281 37 1.0
282 54 1.0
283 54 1.0
284 54 1.0
285 54 1.0
286 54 1.0
287 54 1.0
288 54 1.0
289 54 1.0
290 43 0.003588982843015634
290 54 0.9964110171569844
291 54 0.998675085897367
291 43 0.0013249141026330626
292 54 1.0
293 54 1.0
294 54 1.0
295 54 1.0
296 54 1.0
297 54 1.0
298 16 0.4283778618636771
298 54 0.5716221381363228
299 54 1.0
300 54 1.0
301 54 1.0
302 54 1.0
303 54 1.0
304 54 1.0
305 54 0.9997176432488524
305 37 0.0002823567511476221
306 54 1.0
307 37 0.007521809802609571
307 54 0.9924781901973905
308 43 0.0038715306411364852
308 54 0.9961284693588636
309 54 1.0
310 54 1.0
311 37 0.0012959093547290168
311 54 0.9987040906452709
312 54 1.0
313 54 0.9999012273378214
313 37 9.877266217853963e-05
314 54 0.9999999024484042
314 37 9.755159572183446e-08
315 54 1.0
316 54 1.0
317 54 1.0
318 54 0.9999301498396481
318 37 6.985016035187073e-05
319 43 0.006917761422448481
319 54 0.9930822385775514
320 54 1.0
321 43 0.0009617200159789895
321 54 0.999038279984021
322 54 1.0
323 43 0.0003118514994385536
323 54 0.9996881485005615
324 43 0.008237427448933634
324 54 0.9917625725510664
325 43 0.00011444023327079398
325 54 0.9998855597667291
326 54 1.0
327 54 1.0
328 54 1.0
329 54 1.0
