zcta area pop
452 5.14 9041.0
453 4.77 15347.0
454 6.63 39553.0
455 6.06 28127.0
456 2.88 5010.0
457 55.12 27172.0
458 9.22 1343.0
459 0.45 151.0
460 8.64 1398.0
461 27.73 6844.0
462 4.65 7263.0
463 10.18 3304.0
464 42.89 15398.0
465 2.24 926.0
466 5.51 5210.0
467 2.46 1986.0
468 8.72 4603.0
469 4.07 4299.0
470 13.49 14068.0
471 0.65 416.0
472 2.72 1123.0
473 34.54 14573.0
474 4.12 16268.0
475 6.7 13680.0
476 9.48 4637.0
477 10.26 13553.0
478 18.51 3326.0
479 2.85 3285.0
480 1.27 349.0
481 6.47 743.0
482 2.88 635.0
483 3.84 939.0
484 1.89 1084.0
485 12.79 12834.0
486 5.48 494.0
487 13.49 6622.0
488 9.34 1858.0
489 2.83 534.0
490 11.32 26583.0
491 26.68 11593.0
492 0.56 522.0
493 11.07 5818.0
494 2.41 1321.0
495 4.41 9.0
496 2.85 408.0
497 12.27 1565.0
498 5.75 2467.0
499 12.6 3255.0
500 13.12 4990.0
501 1.21 60.0
502 0.83 497.0
503 52.22 7164.0
504 130.71 28937.0
505 13.36 3010.0
506 19.96 435.0
507 44.54 7930.0
508 29.5 14740.0
509 75.2 31192.0
510 32.36 929.0
511 57.59 2196.0
512 1.04 31.0
513 36.27 5505.0
514 7.17 3882.0
515 22.57 1172.0
516 20.1 1113.0
517 3.24 175.0
518 88.8 836.0
519 26.98 7851.0
520 6.23 802.0
521 7.41 228.0
522 30.83 4015.0
523 1.31 113.0
524 1.58 481.0
525 4.34 271.0
526 61.76 8509.0
527 0.73 584.0
528 15.35 817.0
529 8.83 19664.0
530 21.32 7070.0
531 30.3 1568.0
532 61.84 4587.0
533 15.45 16918.0
534 18.0 2310.0
535 35.16 1835.0
536 19.23 1445.0
537 25.95 1632.0
538 34.5 1507.0
539 20.13 9050.0
540 28.96 1776.0
541 1.42 444.0
542 11.43 563.0
543 34.9 41776.0
544 33.56 2143.0
545 21.41 1506.0
546 30.81 3201.0
547 0.57 256.0
548 12.24 1410.0
549 9.23 270.0
550 48.16 2890.0
551 35.65 2963.0
552 39.29 3418.0
553 75.0 1500.0
554 10.09 6246.0
555 108.49 23773.0
556 43.12 3795.0
557 3.61 4271.0
558 0.18 479.0
559 6.07 1865.0
560 19.69 1073.0
