Subcounty	Area	Pop
488	89.9570767912	4249
489	76.6706386286	609
490	134.547953914	1500
491	52.4152252723	4111
492	36.2657678065	2587
493	40.3496636416	15751
494	35.7223087781	1060
495	34.3855425727	376
496	35.6375474199	3005
497	43.1020755327	2118
498	1.34915312978	665
499	49.9001761494	8492
500	73.3391169809	15345
501	31.9898711688	23042
502	42.1677716273	2423
503	31.5998656776	15090
504	23.4066082639	29474
505	27.415134672	36701
506	46.7281486047	5326
507	37.8504335037	9382
508	15.0399841024	21819
509	33.1138947862	977
510	51.4018886042	2717
511	32.4362545019	1747
512	64.8111257356	27894
513	63.1447102758	6917
514	34.7552178631	3299
515	41.0774357956	2375
516	40.888038865	1703
517	32.8325048069	1570
518	44.3356938166	7004
519	18.4701880159	1348
520	27.3564691758	6407
521	3.27861177404	8574
522	35.966620224	6300
523	87.0499951416	3355
524	70.1034799039	1226
525	97.2934545614	1857
526	104.871079672	32131
527	33.3180435159	8959
528	35.4742583204	821
529	43.0999859487	4149
530	47.9733321879	3361
531	26.0543892158	1042
532	6.23557934647	5796
533	81.8472247455	2017
534	4.82732095032	10554
535	4.56690518997	12540
536	45.9975119599	9475
537	40.1381975067	1309
538	44.5894836806	9071
539	18.255265882	469
540	31.6254711901	5240
541	19.2442329502	27004
542	0.370860237448	0
543	6.26542039784	1314
544	62.5504348188	10034
545	34.9596882158	18411
546	36.4076386698	782
547	52.1438079216	14223
548	43.4733979343	2271
549	78.0110581312	2540
550	187.043860991	1078
551	34.7295969066	2664
552	45.0046027903	3551
553	32.0375640323	538
554	71.6002097123	7983
555	119.841783562	3084
556	36.1394676647	1881
557	37.1121713444	1371
558	23.9327235905	3247
559	9.48371300083	8391
560	39.7646067559	1550
561	36.6065800419	683
562	43.663165909	1008
563	55.4159965028	1719
564	35.6676591288	1441
565	32.1901330098	1006
566	23.1451824607	4496
567	58.8169721087	4047
568	39.6320100627	1669
569	39.8512905159	28690
570	93.0555032561	6267
571	45.5074813402	1357
572	40.0006926848	11326
573	37.5805663525	2151
574	57.4166697304	29076
575	16.8276664783	50140
576	55.2644356376	3359
577	28.2446014596	1778
578	39.7804315325	5261
579	37.1312034703	1679
580	34.4588760838	3371
581	38.2973654877	5926
582	45.1663281767	8450
583	37.9429755894	41713
584	0.600550000636	1
585	213.640045907	5711
586	35.2212607378	42680
587	43.3507213597	1193
588	36.6832517909	7392
589	43.1630773321	1931
590	90.4208910852	2326
591	28.4390099943	369
592	37.7137248242	6772
593	66.8067715291	1309
594	31.2767013924	2456
595	38.3205852759	2072
596	55.1804318115	5598
597	167.161515721	1430
598	79.1708791954	5228
599	35.1032370784	1577
600	29.188743244	12429
601	43.1022848	3739
602	54.2778075753	1203
603	4.21856126286	13206
604	41.5591208206	16355
605	104.226755357	5178
606	36.5799027103	448
607	25.6410847855	145235
608	18.6969534425	1989
609	2.77468457111	38
610	26.6344688606	888
611	19.2299977556	3274
612	32.9038942945	12048
613	15.5216471196	33711
614	386.570237092	21495
615	22.4999932774	4459
616	50.3115149345	4453
617	60.7658964714	1467
618	24.4101402579	1949
619	36.2465673401	1885
620	39.6992586063	17372
621	36.7345442833	19920
622	39.6705136985	4954
623	54.4435291174	1314
624	65.1494364162	852
625	39.3378022692	4099
626	484.344871657	1807
627	43.1964863521	8483
628	449.836357914	712
629	43.1503985146	6142
630	48.6064383092	31669
631	191.713015643	350
632	59.4490670289	846
633	60.0489571812	5735
634	41.3226785196	580
635	233.168778502	435
636	36.0905620548	332
637	39.1150140792	591
638	105.369352411	2441
639	9.08294221364	1154
640	32.9618482047	4152
641	22.5953207029	1040
642	49.8060325127	2183
643	72.2915859613	7019
644	0.170167892766	324
645	36.6474948847	4607
646	50.5216806778	951
647	36.455992926	1736
648	102.801851332	14541
649	35.8263694447	3401
650	42.9833943417	15690
651	15.7016084896	436
652	42.1741982951	7632
653	35.6417968585	1355
654	69.9874817356	2925
655	48.6817173883	1644
656	6.16616940382	14407
657	32.8016668401	2129
658	38.4697179456	3308
659	18.9006384638	12085
660	34.2680131239	11241
661	29.7254559121	1980
662	102.3963701	1523
663	31.5758389363	757
664	29.2495214903	4746
665	56.1438512826	12871
666	532.025055516	486505
667	57.4450157948	1547
668	60.1278787466	1320
669	36.4929077521	843
670	39.1635590698	1280
671	43.6904397681	4438
672	36.5631072733	1116
673	45.1871471826	1599
674	41.2661941136	1168
675	52.5409362225	1892
676	48.6110113013	2263
677	33.553100483	1774
678	43.5737296278	8322
679	44.3925782243	3359
680	44.0556246923	1984
681	45.7845608767	1634
682	42.4201819488	1180
683	35.6184778421	42867
684	37.3866585922	2563
685	16.9778837086	62219
686	69.2472933135	8373
687	266.209625493	1349
688	4.98739034527	32403
689	169.275475908	293776
690	254.953352959	1449
691	20.7452098806	6073
692	37.1728793202	11362
693	36.5441010163	1668
694	31.4547465382	14795
695	35.2184966335	3651
696	8.44552063031	21158
