O D W
13 10 43
13 11 24
13 12 44
13 13 2513
13 14 18
13 15 47
13 16 4
13 17 67
13 18 41
13 19 28
13 20 32
13 21 113
13 22 4
13 23 4
13 24 1
13 25 11
13 26 6
13 27 9
13 28 212
13 29 1
13 32 17
13 35 1
13 36 9
13 37 3
13 38 3
13 39 96
13 40 10
13 41 484
13 42 3
13 43 12
13 44 50
13 45 23
13 46 22
13 47 137
13 48 1408
13 49 14
13 50 3
13 51 18
13 52 2
13 53 2
13 54 5
13 55 5
13 56 4
13 57 2
13 58 6
13 59 7
13 60 1
13 61 1
14 0 7
14 1 27
14 2 51
14 3 1160
14 4 90
14 5 22
14 6 121
14 7 453
14 8 608
14 9 139
14 10 15
14 11 1047
14 12 3
14 13 7
14 14 59432
14 15 18
14 16 224
14 17 322
14 18 14
14 19 49
14 20 50
14 21 117
14 22 45
14 23 106
14 24 626
14 25 51
14 26 48
14 27 730
14 28 551
14 29 58
14 30 24
14 31 317
14 32 20
14 33 830
14 34 4
14 35 63
14 36 95
14 37 479
14 38 16
14 39 23
14 40 69
14 41 945
14 42 497
14 43 1202
14 44 3727
14 45 81
14 46 591
14 47 1080
14 48 104
14 49 647
14 50 11
14 51 73
14 52 178
14 53 53
14 54 601
14 55 7941
14 56 108
14 57 287
14 58 106
14 59 5913
14 60 7547
14 61 275
15 0 7
15 1 14
15 2 671
15 3 32
15 4 5
15 5 10
15 6 24
15 7 16
15 8 5
15 9 2
15 10 26
15 11 43
15 12 374
15 13 7
15 14 43
15 15 5505
15 16 3
15 17 56
15 18 1523
15 19 15
15 20 367
15 21 65
15 22 5
15 23 5
15 24 4
15 25 16
15 26 8
15 27 10
15 28 1347
15 29 3
15 31 6
15 32 79
15 35 3
15 36 11
15 37 7
15 38 7
15 39 239
15 40 7
15 41 386
15 42 5
15 43 26
15 44 79
15 45 178
15 46 54
15 47 176
15 48 95
15 49 24
15 50 33
15 51 22
15 52 7
15 54 12
15 55 12
15 56 2
15 57 7
15 58 15
15 59 21
15 60 10
15 61 4
16 0 1
16 1 1
16 2 13
16 3 7493
16 4 122
16 5 7
16 6 86
16 7 347
16 8 180
16 9 7
16 10 3
16 11 34228
16 14 947
16 15 89
16 16 104293
16 17 215
16 18 25
16 19 36
16 20 41
16 21 46
16 22 7
16 23 24
16 24 59
16 25 27
16 26 23
16 27 825
16 28 553
16 29 5
16 30 8
16 31 20
16 33 31
16 35 19
16 36 20
16 37 31884
16 38 3
16 39 25
16 40 45
16 41 396
16 42 49
16 43 14501
16 44 178680
16 45 45
16 46 151
16 47 506
16 48 45
16 49 1495
16 50 5
16 51 32
16 52 48
16 53 345
16 54 37217
16 55 95
16 56 2528
16 57 3451
16 58 44
16 59 198
16 60 125
16 61 43
17 0 63
17 1 78
17 2 316
17 3 388
17 4 62
17 5 2272
17 6 851
17 7 86
17 8 76
17 9 22
17 10 76
17 11 472
17 12 20
17 13 31
17 14 518
17 15 53
17 16 81
17 17 39329
17 18 43
17 19 168
17 20 72
17 21 732
17 22 1258
17 23 40
17 24 35
17 25 590
17 26 483
17 27 206
17 28 672
17 29 25
17 30 9
17 31 69
17 32 74
17 33 24
17 34 1
17 35 62
17 36 117
17 37 256
17 38 11
17 39 65
17 40 129
17 41 1322
17 42 93
17 43 323
17 44 1047
17 45 99
17 46 488
17 47 1937
17 48 241
17 49 277
17 50 18
17 51 146
17 52 354
17 53 28
17 54 242
17 55 86
17 56 64
17 57 103
17 58 41
17 59 166
17 60 115
17 61 62
18 0 8
18 1 18
18 2 326
18 3 57
18 4 4
18 5 10
18 6 45
18 7 24
18 8 6
18 9 1
18 10 40
18 11 73
18 12 922
18 13 18
18 14 47
18 15 658
18 16 6
18 17 113
18 18 9620
18 19 41
18 20 1315
18 21 99
18 22 6
18 23 12
18 24 5
18 25 24
18 26 21
18 27 6
18 28 4194
18 29 1
18 31 7
18 32 109
18 35 10
18 36 26
18 37 10
18 38 11
18 39 127
18 40 15
18 41 632
18 42 8
18 43 39
18 44 138
18 45 297
18 46 72
18 47 261
18 48 142
18 49 37
18 50 42
18 51 28
18 52 17
18 53 3
18 54 12
18 55 8
18 56 9
18 57 6
18 58 14
18 59 27
18 60 10
18 61 5
19 0 46
19 1 708
19 2 48
19 3 137
19 4 9
19 5 50
19 6 1746
19 7 27
19 8 22
19 9 1
19 10 558
19 11 126
19 12 3
19 13 69
19 14 263
19 15 14
19 16 25
19 17 261
19 18 16
19 19 9779
19 20 32
19 21 144
19 22 32
19 23 14
19 24 11
19 25 556
19 26 9
19 27 30
19 28 480
19 29 28
19 30 15
19 31 14
19 32 29
19 33 9
19 35 33
19 36 121
19 37 52
19 38 17
19 39 37
19 40 151
19 41 1065
19 42 28
19 43 82
19 44 372
19 45 50
19 46 306
19 47 6365
19 48 504
19 49 76
19 50 3
19 51 741
19 52 37
19 53 5
19 54 82
19 55 39
19 56 20
19 57 32
19 58 45
19 59 76
19 60 49
19 61 29
20 0 5
20 1 18
20 2 96
20 3 90
20 4 10
20 5 18
20 6 57
20 7 43
20 8 18
20 9 7
20 10 63
20 11 134
20 12 58
20 13 4
20 14 107
20 15 91
20 16 15
20 17 121
20 18 870
20 19 34
20 20 25519
20 21 71
20 22 24
20 23 16
20 24 11
20 25 39
20 26 24
20 27 28
20 28 4518
20 29 7
20 31 18
20 32 132
20 33 2
20 35 14
20 36 46
20 37 31
20 38 19
20 39 57
20 40 34
20 41 808
20 42 10
20 43 83
20 44 215
20 45 518
20 46 149
20 47 440
20 48 108
20 49 89
20 50 44
20 51 46
20 52 35
20 53 3
20 54 33
20 55 18
20 56 4
20 57 13
20 58 27
20 59 48
20 60 20
20 61 9
21 0 559
21 1 101
21 2 3526
21 3 70
21 4 5
21 5 606
21 6 1266
21 7 25
21 8 10
21 10 62
21 11 98
21 12 83
21 13 107
21 14 80
21 15 56
21 16 6
21 17 469
21 18 74
21 19 98
21 20 74
